gene_symbol	ncbi_gene	ensembl_gene	db_gene_symbol	db_ncbi_gene	db_ensembl_gene	source_gene	gs_id	gs_name	gs_collection	gs_subcollection	gs_collection_name	gs_description	gs_source_species	gs_pmid	gs_geoid	gs_exact_source	gs_url	db_version	db_target_species	ortholog_taxon_id	ortholog_sources	num_ortholog_sources	Selected_Ensembl_ID
PRDX2	286793	ENSBTAG00000012062	PRDX2	7001	ENSG00000167815	PRDX2	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB	8	ENSBTAG00000012062
PSMD9	513315	ENSBTAG00000004179	PSMD9	5715	ENSG00000110801	PSMD9	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000004179
RAD23A	540564	ENSBTAG00000015116	RAD23A	5886	ENSG00000179262	RAD23A	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther	7	ENSBTAG00000015116
RANBP10	519736	ENSBTAG00000032763	RANBP10	57610	ENSG00000141084	RANBP10	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	9	ENSBTAG00000032763
RAP1GAP	532839	ENSBTAG00000008952	RAP1GAP	5909	ENSG00000076864	RAP1GAP	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther	8	ENSBTAG00000008952
RBM38	533516	ENSBTAG00000008105	RBM38	55544	ENSG00000132819	RBM38	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000008105
RBM5	534216	ENSBTAG00000006330	RBM5	10181	ENSG00000003756	RBM5	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000006330
RCL1	768075	ENSBTAG00000018667	RCL1	10171	ENSG00000120158	RCL1	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	HomoloGene|NCBI|OMA|OrthoDB|Panther|PhylomeDB	6	ENSBTAG00000018667
RHAG	281454	ENSBTAG00000011300	RHAG	6005	ENSG00000112077	RHAG	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000011300
LOC282685	282685	ENSBTAG00000001297	RHCE	6006	ENSG00000188672	RHCE	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|OMA|OrthoDB|Panther|PhylomeDB|Treefam	8	ENSBTAG00000001297
LOC282685	282685	ENSBTAG00000001297	RHD	6007	ENSG00000187010	RHD	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|OMA|OrthoDB|Panther|PhylomeDB|Treefam	8	ENSBTAG00000001297
RIOK3	522917	ENSBTAG00000010042	RIOK3	8780	ENSG00000101782	RIOK3	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000010042
RNF123	514160	ENSBTAG00000011588	RNF123	63891	ENSG00000164068	RNF123	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	9	ENSBTAG00000011588
RNF19A	540195	ENSBTAG00000017833	RNF19A	25897	ENSG00000034677	RNF19A	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000017833
SDCBP	510979	ENSBTAG00000019910	SDCBP	6386	ENSG00000137575	SDCBP	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000019910
SEC14L1	513449	ENSBTAG00000013677	SEC14L1	6397	ENSG00000129657	SEC14L1	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	9	ENSBTAG00000013677
SELENBP1	510154	ENSBTAG00000008091	SELENBP1	8991	ENSG00000143416	SELENBP1	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000008091
SIDT2	513462	ENSBTAG00000007192	SIDT2	51092	ENSG00000149577	SIDT2	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|Panther|Treefam	8	ENSBTAG00000007192
SLC10A3	504534	ENSBTAG00000014333	SLC10A3	8273	ENSG00000126903	SLC10A3	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000014333
SLC11A2	521189	ENSBTAG00000032914	SLC11A2	4891	ENSG00000110911	SLC11A2	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|Panther|Treefam	8	ENSBTAG00000032914
SLC22A4	508155	ENSBTAG00000031209	SLC22A4	6583	ENSG00000197208	SLC22A4	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	9	ENSBTAG00000031209
SLC25A37	100124521	ENSBTAG00000019099	SLC25A37	51312	ENSG00000147454	SLC25A37	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|NCBI|OMA|Panther|PhylomeDB|Treefam	7	ENSBTAG00000019099
SLC25A38	512325	ENSBTAG00000022721	SLC25A38	54977	ENSG00000144659	SLC25A38	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther	7	ENSBTAG00000022721
SLC2A1	282356	ENSBTAG00000009617	SLC2A1	6513	ENSG00000117394	SLC2A1	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB	8	ENSBTAG00000009617
SLC30A1	522265	ENSBTAG00000010909	SLC30A1	7779	ENSG00000170385	SLC30A1	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000010909
SLC30A10	508385	ENSBTAG00000004414	SLC30A10	55532	ENSG00000196660	SLC30A10	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000004414
SLC4A1	286817	ENSBTAG00000001610	SLC4A1	6521	ENSG00000004939	SLC4A1	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	9	ENSBTAG00000001610
SLC66A2	533304	ENSBTAG00000054103	SLC66A2	80148	ENSG00000122490	PQLC1	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther	7	ENSBTAG00000054103
SLC6A8	282367	ENSBTAG00000009959	SLC6A8	6535	ENSG00000130821	SLC6A8	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	8	ENSBTAG00000009959
SLC6A9	282368	ENSBTAG00000008690	SLC6A9	6536	ENSG00000196517	SLC6A9	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther	7	ENSBTAG00000008690
SLC7A11	524078	ENSBTAG00000034075	SLC7A11	23657	ENSG00000151012	SLC7A11	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|Panther	6	ENSBTAG00000034075
SMOX	527211	ENSBTAG00000001112	SMOX	54498	ENSG00000088826	SMOX	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000001112
SNCA	282857	ENSBTAG00000024957	SNCA	6622	ENSG00000145335	SNCA	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|Panther|PhylomeDB|Treefam	9	ENSBTAG00000024957
SPTA1	505122	ENSBTAG00000000888	SPTA1	6708	ENSG00000163554	SPTA1	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|NCBI|OMA|OrthoDB|Panther	6	ENSBTAG00000000888
SPTB	527711	ENSBTAG00000004732	SPTB	6710	ENSG00000070182	SPTB	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|NCBI|OMA|OrthoDB|Panther|Treefam	7	ENSBTAG00000004732
SYNJ1	282087	ENSBTAG00000003063	SYNJ1	8867	ENSG00000159082	SYNJ1	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	9	ENSBTAG00000003063
TAL1	518657	ENSBTAG00000005029	TAL1	6886	ENSG00000162367	TAL1	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther	7	ENSBTAG00000005029
TCEA1	505722	ENSBTAG00000003460	TCEA1	6917	ENSG00000187735	TCEA1	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	9	ENSBTAG00000003460
TENT5C	517961	ENSBTAG00000046509	TENT5C	54855	ENSG00000183508	FAM46C	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|NCBI|OMA|Panther|Treefam	7	ENSBTAG00000046509
TFDP2	506114	ENSBTAG00000006222	TFDP2	7029	ENSG00000114126	TFDP2	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	8	ENSBTAG00000006222
TFRC	504698	ENSBTAG00000032719	TFRC	7037	ENSG00000072274	TFRC	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|NCBI|OMA|OrthoDB|Panther|Treefam	8	ENSBTAG00000032719
TMCC2	768080	ENSBTAG00000002361	TMCC2	9911	ENSG00000133069	TMCC2	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000002361
TMEM9B	515665	ENSBTAG00000008310	TMEM9B	56674	ENSG00000175348	TMEM9B	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|Panther|PhylomeDB|Treefam	9	ENSBTAG00000008310
TNRC6B	528167	ENSBTAG00000021076	TNRC6B	23112	ENSG00000100354	TNRC6B	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	9	ENSBTAG00000021076
TNS1	286798	ENSBTAG00000002485	TNS1	7145	ENSG00000079308	TNS1	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	9	ENSBTAG00000002485
TOP1	534799	ENSBTAG00000007960	TOP1	7150	ENSG00000198900	TOP1	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000007960
TRAK2	523970	ENSBTAG00000014933	TRAK2	66008	ENSG00000115993	TRAK2	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	9	ENSBTAG00000014933
TRIM10	515628	ENSBTAG00000007530	TRIM10	10107	ENSG00000204613	TRIM10	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	9	ENSBTAG00000007530
TRIM58	525584	ENSBTAG00000007470	TRIM58	25893	ENSG00000162722	TRIM58	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	9	ENSBTAG00000007470
TSPAN5	538668	ENSBTAG00000012343	TSPAN5	10098	ENSG00000168785	TSPAN5	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000012343
TYR	280951	ENSBTAG00000011813	TYR	7299	ENSG00000077498	TYR	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000011813
UBAC1	613652	ENSBTAG00000039851	UBAC1	10422	ENSG00000130560	UBAC1	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|Panther|PhylomeDB|Treefam	9	ENSBTAG00000039851
UCP2	281562	ENSBTAG00000003692	UCP2	7351	ENSG00000175567	UCP2	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	9	ENSBTAG00000003692
UROD	504914	ENSBTAG00000012644	UROD	7389	ENSG00000126088	UROD	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther	7	ENSBTAG00000012644
UROS	613425	ENSBTAG00000005791	UROS	7390	ENSG00000188690	UROS	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	9	ENSBTAG00000005791
USP15	538284	ENSBTAG00000010428	USP15	9958	ENSG00000135655	USP15	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000010428
VEZF1	539120	ENSBTAG00000004193	VEZF1	7716	ENSG00000136451	VEZF1	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|Treefam	7	ENSBTAG00000004193
XPO7	100124498	ENSBTAG00000047628	XPO7	23039	ENSG00000130227	XPO7	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	9	ENSBTAG00000047628
YPEL5	780856	ENSBTAG00000023744	YPEL5	51646	ENSG00000119801	YPEL5	M5945	HALLMARK_HEME_METABOLISM	H		Hallmark	Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000023744
ACKR3	509585	ENSBTAG00000018424	ACKR3	57007	ENSG00000144476	CXCR7	M5891	HALLMARK_HYPOXIA	H		Hallmark	Genes up-regulated in response to low oxygen levels (hypoxia).	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|NCBI|OMA|OrthoDB|Panther|Treefam	8	ENSBTAG00000018424
ADM	280713	ENSBTAG00000021048	ADM	133	ENSG00000148926	ADM	M5891	HALLMARK_HYPOXIA	H		Hallmark	Genes up-regulated in response to low oxygen levels (hypoxia).	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000021048
ADORA2B	529760	ENSBTAG00000007581	ADORA2B	136	ENSG00000170425	ADORA2B	M5891	HALLMARK_HYPOXIA	H		Hallmark	Genes up-regulated in response to low oxygen levels (hypoxia).	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|Panther|PhylomeDB|Treefam	9	ENSBTAG00000007581
AK4	517063	ENSBTAG00000030674	AK4	205	ENSG00000162433	AK4	M5891	HALLMARK_HYPOXIA	H		Hallmark	Genes up-regulated in response to low oxygen levels (hypoxia).	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000030674
AKAP12	513774	ENSBTAG00000014788	AKAP12	9590	ENSG00000131016	AKAP12	M5891	HALLMARK_HYPOXIA	H		Hallmark	Genes up-regulated in response to low oxygen levels (hypoxia).	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|Panther|Treefam	8	ENSBTAG00000014788
ALDOA	509566	ENSBTAG00000012927	ALDOA	226	ENSG00000149925	ALDOA	M5891	HALLMARK_HYPOXIA	H		Hallmark	Genes up-regulated in response to low oxygen levels (hypoxia).	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|Panther	6	ENSBTAG00000012927
ALDOB	515263	ENSBTAG00000015358	ALDOB	229	ENSG00000136872	ALDOB	M5891	HALLMARK_HYPOXIA	H		Hallmark	Genes up-regulated in response to low oxygen levels (hypoxia).	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther	7	ENSBTAG00000015358
ALDOC	504584	ENSBTAG00000013099	ALDOC	230	ENSG00000109107	ALDOC	M5891	HALLMARK_HYPOXIA	H		Hallmark	Genes up-regulated in response to low oxygen levels (hypoxia).	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther	7	ENSBTAG00000013099
AMPD3	519803	ENSBTAG00000015821	AMPD3	272	ENSG00000133805	AMPD3	M5891	HALLMARK_HYPOXIA	H		Hallmark	Genes up-regulated in response to low oxygen levels (hypoxia).	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|NCBI|Treefam	5	ENSBTAG00000015821
